campaign_id,campaign_name,platform,channel,region,status,start_date,end_date,budget_allocated,created_at,funnel_stage
77,Growify | TOF | 23/01/26 | ABO | CAN | Sales,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,341.45,2026-05-24 15:51:36,BOF
78,Growify | TOF | 23/01/26 | ABO | India | Sales,Meta,Paid Social,  MIDDLE EAST  ,PAUSED,2026-05-24,2026-05-24,352.83666666666664,2026-05-24 15:51:36,BOF
79,Growify | TOF | 23/01/26 | ABO | UAE | Sales,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,345.62416666666667,2026-05-24 15:51:36,BOF
80,Growify | TOF | 23/01/26 | ABO | US | Sales,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,1329.68,2026-05-24 15:51:36,BOF
81,Growify | TOF | Conversion | CAN,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,1795.2054545454544,2026-05-24 15:51:36,BOF
82,Growify | TOF | Conversion | India,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,10624.150727245455,2026-05-24 15:51:36,BOF
83,Growify | TOF | Conversion | UAE,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,7090.618949121388,2026-05-24 15:51:36,BOF
84,Growify | TOF | Conversion | US,Meta,Paid Social,usa,ACTIVE,2026-05-24,2026-05-24,27494.219716981133,2026-05-24 15:51:36,BOF
85,Growify | TOF | Conversion | US+CAN,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,3116.5195833125,2026-05-24 15:51:36,BOF
86,Growify | TOF | Conversion | US+UK,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,10952.001739086956,2026-05-24 15:51:36,BOF
87,Growify | TOF | Messaging | UAE,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,6810.305130739131,2026-05-24 15:51:36,BOF
88,Growify | TOF | Traffic-LPV | UAE,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,573.1561377777778,2026-05-24 15:51:36,BOF
89,Growify | TOF | Traffic-LPV | US,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,1494.2962745098039,2026-05-24 15:51:36,BOF
90,Growify | TOF | Traffic-ThruPlay | India,Meta,Paid Social,India,PAUSED,2026-05-24,2026-05-24,564.6385964736842,2026-05-24 15:51:36,BOF
91,growify | mof+bof | mehfil+fitoor+mahiya | lehenga+saree| sale | us+uae+can+aus,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,62.285000000000004,2026-05-24 15:51:36,BOF
92,growify | retarget | conversion | aus+can+uk+usa,Meta,Paid Social,USA,ACTIVE,2026-05-24,2026-05-24,236.32,2026-05-24 15:51:36,BOF
93,growify | retarget | conversion | india,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,770.51,2026-05-24 15:51:36,BOF
94,growify | retarget | messaging | us+can,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,233.3979996,2026-05-24 15:51:36,BOF
95,growify | tof | 23/01/26 | abo | india | sales,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,0.0,2026-05-24 15:51:36,BOF
96,growify | tof | 23/01/26 | abo | us | sales,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,1393.05,2026-05-24 15:51:36,BOF
97,growify | tof | conversion | can,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,2586.62,2026-05-24 15:51:36,BOF
98,growify | tof | conversion | india,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,602.5514285714286,2026-05-24 15:51:36,BOF
99,growify | tof | conversion | uae,Meta,Paid Social,  MIDDLE EAST  ,PAUSED,2026-05-24,2026-05-24,667.5939591111111,2026-05-24 15:51:36,BOF
100,growify | tof | conversion | us,Meta,Paid Social,  USA  ,ACTIVE,2026-05-24,2026-05-24,127076.20857142856,2026-05-24 15:51:36,BOF
101,growify | tof | conversion | us+can,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,7535.62,2026-05-24 15:51:36,BOF
102,growify | tof | conversion | us+uk,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,145.75729866666666,2026-05-24 15:51:36,BOF
103,growify | tof | messaging | uae,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,681.7595555714286,2026-05-24 15:51:36,BOF
104,growify | tof | traffic-lpv | uae,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,77.5386815,2026-05-24 15:51:36,BOF
105,growify | tof | traffic-lpv | us,Meta,Paid Social,USA,  PAUSED  ,2026-05-24,2026-05-24,5704.026666666666,2026-05-24 15:51:36,BOF
106,growify | tof | traffic-thruplay | india,Meta,Paid Social,India,PAUSED,2026-05-24,2026-05-24,6.4399999999999995,2026-05-24 15:51:36,BOF
107,  GROWIFY | 3 JULY 2025 | US/CA/AUS | ENGAGEMENT  ,Meta,Paid Social,Rest of the World,  PAUSED  ,2026-05-24,2026-05-24,40.38,2026-05-24 15:51:44,BOF
108,  GROWIFY | MOF+BOF | MEHFIL+FITOOR+MAHIYA | LEHENGA+SAREE| SALE | US+UAE+CAN+AUS  ,Meta,Paid Social,Rest of the World,  ACTIVE  ,2026-05-24,2026-05-24,309.265,2026-05-24 15:51:44,BOF
109,  GROWIFY | RETARGET | CONVERSION | AUS+CAN+UK+USA  ,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,2802.1071428571427,2026-05-24 15:51:44,BOF
110,  GROWIFY | RETARGET | CONVERSION | INDIA  ,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,2707.016,2026-05-24 15:51:44,BOF
111,  GROWIFY | RETARGET | MESSAGING | US+CAN  ,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,889.39,2026-05-24 15:51:44,BOF
112,  GROWIFY | TOF | 23/01/26 | ABO | US | SALES  ,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,2054.465,2026-05-24 15:51:44,BOF
113,  GROWIFY | TOF | CONVERSION | INDIA  ,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,313.43571428571425,2026-05-24 15:51:44,BOF
114,  GROWIFY | TOF | CONVERSION | UAE  ,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,450.5393874545454,2026-05-24 15:51:44,BOF
115,  GROWIFY | TOF | CONVERSION | US  ,Meta,Paid Social,USA,ACTIVE,2026-05-24,2026-05-24,2633.62,2026-05-24 15:51:44,BOF
116,  GROWIFY | TOF | CONVERSION | US+CAN  ,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,0.0,2026-05-24 15:51:44,BOF
117,  GROWIFY | TOF | CONVERSION | US+UK  ,Meta,Paid Social,USA,ACTIVE,2026-05-24,2026-05-24,6944.116666666668,2026-05-24 15:51:44,BOF
118,  GROWIFY | TOF | MESSAGING | UAE  ,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,20075.945714285714,2026-05-24 15:51:44,BOF
119,  GROWIFY | TOF | TRAFFIC-LPV | UAE  ,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,53.61,2026-05-24 15:51:44,BOF
120,  GROWIFY | TOF | TRAFFIC-LPV | US  ,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,38.385999999999996,2026-05-24 15:51:44,BOF
121,  GROWIFY | TOF | TRAFFIC-THRUPLAY | INDIA  ,Meta,Paid Social,India,PAUSED,2026-05-24,2026-05-24,92.99,2026-05-24 15:51:44,BOF
122,  NAN  ,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,403.42636942857143,2026-05-24 15:51:44,BOF
123,Growify | 3 July 2025 | US/CA/AUS | Engagement,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,9683.96567,2026-05-24 15:51:44,BOF
124,Growify | MOF+BOF | Mehfil+Fitoor+Mahiya | Lehenga+Saree| Sale | US+UAE+CAN+AUS,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,4929.7952221129035,2026-05-24 15:51:44,BOF
125,Growify | Retarget | Conversion | AUS+CAN+UK+USA,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,8929.237287412903,2026-05-24 15:51:44,BOF
126,Growify | Retarget | Conversion | India,Meta,Paid Social,India,  ACTIVE  ,2026-05-24,2026-05-24,22012.2014,2026-05-24 15:51:44,BOF
127,Growify | Retarget | Messaging | US+CAN,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,2401.562479730769,2026-05-24 15:51:44,BOF
128,Growify | TOF | 20/02/25 | ABO | US | Sales,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,36302.65142857143,2026-05-24 15:51:44,BOF
129,Growify | TOF | 23/01/25 | ABO | US | Leads,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,857.76,2026-05-24 15:51:44,BOF
130,Growify | TOF | 23/01/26 | ABO | CAN | Sales,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,341.45,2026-05-24 15:51:44,BOF
131,Growify | TOF | 23/01/26 | ABO | India | Sales,Meta,Paid Social,  MIDDLE EAST  ,PAUSED,2026-05-24,2026-05-24,352.83666666666664,2026-05-24 15:51:44,BOF
132,Growify | TOF | 23/01/26 | ABO | UAE | Sales,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,345.62416666666667,2026-05-24 15:51:44,BOF
133,Growify | TOF | 23/01/26 | ABO | US | Sales,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,1329.68,2026-05-24 15:51:44,BOF
134,Growify | TOF | Conversion | CAN,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,1795.2054545454544,2026-05-24 15:51:44,BOF
135,Growify | TOF | Conversion | India,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,10624.150727245455,2026-05-24 15:51:44,BOF
136,Growify | TOF | Conversion | UAE,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,7090.618949121388,2026-05-24 15:51:44,BOF
137,Growify | TOF | Conversion | US,Meta,Paid Social,usa,ACTIVE,2026-05-24,2026-05-24,27494.219716981133,2026-05-24 15:51:44,BOF
138,Growify | TOF | Conversion | US+CAN,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,3116.5195833125,2026-05-24 15:51:44,BOF
139,Growify | TOF | Conversion | US+UK,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,10952.001739086956,2026-05-24 15:51:44,BOF
140,Growify | TOF | Messaging | UAE,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,6810.305130739131,2026-05-24 15:51:44,BOF
